wheel_f;wheel_r;rail_max
0.735721294;0.598572894;0.435485361
0.704058656;0.552096982;0.416801284
0.704086572;0.552072098;0.416708643
0.553513602;0.702984767;0.416337604
0.553502029;0.702992816;0.416352212
0.556964459;0.703456833;0.416724371
0.53244951;0.714101107;0.400091357
0.554395144;0.743342074;0.407659869
0.089054105;0.241764266;0.158895384
0.089005564;0.241801727;0.158714681
0.111995843;0.251532592;0.136409013
0.064705344;0.123492012;0.070909003
0.065485677;0.125619609;0.072015184
0.063969276;0.121717452;0.070031712
0.094578198;0.087314276;0.073743071
0.12316987;0.15092579;0.11023209
0.118496385;0.143536936;0.106456284
0.087865322;0.103473738;0.071005981
0.087648238;0.104236584;0.071085118
0.087679103;0.10421;0.071591668
0.082280305;0.090516102;0.067113852
0.082648276;0.090943269;0.068212823
0.082418983;0.090822751;0.067744077
0.157711962;0.169068182;0.143381457
0.157636322;0.160873024;0.13484975
0.15531008;0.155709918;0.130656938
0.159021345;0.159159593;0.131748406
0.174730108;0.133352634;0.113671561
0.176798952;0.135049122;0.115141251
0.382050304;0.502184426;0.339381928
0.381974629;0.502213791;0.339299201
0.347190228;0.470259114;0.337600105
0.325510358;0.464606976;0.261427034
0.325844777;0.464081537;0.261362661
0.138490886;0.515717824;0.257927987
0.279977721;0.466921505;0.250408269
0.27961923;0.46688489;0.25001386
0.279445683;0.466936394;0.250210413
0.008677692;0.043217136;0.034854217
0.008019048;0.04360025;0.035306395
0.00802301;0.043614654;0.035162548
0.005987771;0.045479708;0.036353917
0.005987341;0.045477628;0.036358096
0.005258693;0.046024879;0.036907779
0.005420778;0.047156523;0.037542765
0.003068135;0.011241308;0.009799115
0.011683064;0.002650106;0.007056488
0.011674564;0.002647953;0.007110917
0.012240768;0.00241573;0.007339948
0.01164626;0.002371318;0.007066255
0.009867273;0.004627108;0.007152511
0.009822018;0.00437089;0.006897639
0.009956085;0.004630069;0.006658039
0.010674067;0.003570493;0.006429888
0.012221265;0.004753224;0.007604406
0.010222924;0.009882063;0.009817871
0.010168139;0.009829537;0.009683768
0.02617356;0.075542542;0.045562355
0.165008869;0.166217826;0.14269779
0.159281306;0.152497059;0.139053531
0.173111926;0.182310377;0.148409047
0.182548763;0.172996323;0.161147517
0.182625261;0.173005532;0.161557452
0.210356852;0.142494743;0.139997246
0.210409178;0.142538786;0.140274792
0.213578884;0.151485394;0.140207374
0.161475629;0.205075107;0.144696033
0.220721919;0.14774701;0.146749787
0.199204358;0.133024325;0.138966514
0.199161705;0.133029447;0.13869083
0.196082669;0.130720821;0.136511323
0.294006092;0.154902514;0.170736597
0.290039116;0.152213066;0.168327357
0.289923092;0.152314954;0.168101969
0.287922829;0.14972215;0.168467468
0.28901247;0.162613785;0.1737965
0.284386629;0.156478212;0.171278371
0.360302739;0.212224471;0.217337205
0.310260928;0.187764856;0.195407076
0.310469661;0.187785509;0.195351194
0.333095385;0.189073111;0.201029501
0.151707805;0.052337778;0.082971604
0.151753145;0.052341047;0.083015596
0.042465255;0.021412318;0.02489693
0.042841385;0.022074208;0.024984217
0.135617717;0.071758203;0.075368454
0.118321204;0.05623834;0.069425641
0.257188206;0.308906827;0.217071534
0.257206473;0.308905428;0.217117761
0.256894023;0.308969143;0.217126741
0.267575613;0.311093609;0.225977903
0.201977687;0.290884492;0.179781813
0.20229882;0.290977244;0.179901815
0.184390995;0.287478193;0.17085764
0.205207577;0.310225308;0.184532116
0.19597596;0.272891127;0.162288681
0.385673767;0.427695188;0.254370193
0.416093631;0.406414305;0.336493841
0.398494632;0.421217833;0.308318149
0.398500285;0.421216116;0.308363357
0.395154424;0.418325798;0.306102455
0.400374655;0.417525264;0.330106756
0.419730779;0.432875371;0.347624977
0.419660279;0.434618233;0.349495708
0.220716388;0.301946183;0.224800876
0.309623959;0.211268391;0.15134072
0.309641616;0.211261934;0.151176029
0.320045465;0.221337342;0.15919532
0.268757911;0.286050595;0.283501391
0.278322797;0.288420387;0.284953612
0.273559839;0.270148084;0.253325562
0.273487456;0.270163534;0.253527783
0.280545845;0.283198878;0.271791408
0.276591147;0.285743699;0.271579676
